,perturbation,n,r2,fid
59,Cl.Cl.Fc1cc(-c2cccc3ncc(-c4cnn(C5CCNCC5)c4)nc23)cc(F)c1CN1CCOCC1,3515,0.8715358178254986,0.3740208012023629
60,O=C(O)CCC1CCC(c2cc(F)ccc2F)(S(=O)(=O)c2ccc(Cl)cc2)CC1,3514,0.8718601027140538,0.41990371793894
61,O=C(O)CNC(=O)c1c(O)c2ccccc2n(Cc2ccccc2)c1=O,3499,0.8762975665234292,0.39441681876702006
62,O=C(CCCc1ccccc1)O[Na],3495,0.8816641823778354,0.3912880381763486
63,CC(c1cc2ccccc2s1)N(O)C(N)=O,3467,0.8824066572162916,0.45761382384128524
64,Nc1ccccc1NC(=O)c1ccc(CNc2nccc(-c3cccnc3)n2)cc1,3451,0.8849837325661353,1.8025965397203123
65,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3C(=O)CC2(C)C1(O)C(=O)CO,3442,0.8735106757991277,0.45555103726250223
66,Cc1ccc(S(=O)(=O)OCC(=O)Nc2ccc(C(=O)O)c(O)c2)cc1,3427,0.8584090430017303,0.45111654957455016
67,CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1,3426,0.8888242156900907,0.6974235543749288
68,c1ccc2c(CCNc3ccc(Nc4ccncc4)cc3)c[nH]c2c1,3417,0.882191133291694,0.46788178286923454
69,N#CC[C@@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,3416,0.8391820868808368,0.39091139817915277
70,CC12CCC3c4ccc(O)cc4CC(CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)C3C1CCC2O,3416,0.8308578017107184,0.6339535266712133
71,CC(=O)Nc1ccc(OCC(C)(O)C(=O)Nc2ccc([N+](=O)[O-])c(C(F)(F)F)c2)cc1,3416,0.8625760184493094,0.4334652612877967
72,C=C1C(=O)OC2/C=C(\C)CC/C=C(\C)CCC12,3405,0.8614254747101832,0.43886583727542927
73,COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCC1,3396,0.8516977424383607,0.4197045794969938
74,O=c1[nH]cc(F)c(=O)[nH]1,3391,0.8563797354068567,0.4686081463541001
75,CN(N=O)C(=O)NC1C(O)OC(CO)C(O)C1O,3382,0.8737649801895752,0.4193250266305739
76,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21.O=P(O)(O)O.O=P(O)(O)O,3360,0.8588371267432433,0.4939533507002487
77,Cc1cc(C(C)Nc2ccccc2)c2nc(N3CCOCC3)cc(=O)n2c1,3357,0.8770770737976852,0.4233229534835381
78,CCc1cccc(CC)c1NC(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1,3348,0.8860496061786687,0.6253168936442748
79,COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccc(F)cc4F)c(F)c3)c2cc1OC,3347,0.8681515371794841,0.4495230773598351
80,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,3316,0.8701425851591726,0.4348481998131142
81,Cc1nnc(C(C)C)n1C1CC2CCC(C1)N2CCC(NC(=O)C1CCC(F)(F)CC1)c1ccccc1,3313,0.8538450834141558,0.4451074384606244
82,Cc1noc(-c2ccc(CSCCC(=O)O)cc2)c1NC(=O)OC(C)c1ccccc1Cl,3289,0.8485942437474407,0.43400449049242695
83,CCN(CC)CCCCNc1ncc2cc(-c3cc(OC)cc(OC)c3)c(NC(=O)NC(C)(C)C)nc2n1,3286,0.879932325902892,0.41849557424473716
