,perturbation,n,r2,fid
121,C16orf70,378,0.995562247626633,0.1101859960418139
122,ALG1L,377,0.9943456645469726,0.19925066105751377
123,CANX,376,0.9960484964219675,0.10543396830407126
124,DALRD3,376,0.9900854122450472,0.1361067569276102
125,CA11,375,0.9934335543402248,0.11267746474251616
126,BRF2,375,0.9914054589925475,0.18689040888622088
127,BCL2L1,374,0.992359462034556,0.18433996793669927
128,ATP5MF,374,0.9715225363160538,0.8436631983602076
129,ADARB1,373,0.9922371788544214,0.12518223322167898
130,BRCC3,372,0.9944673832931761,0.2148351129598165
131,CDC37,372,0.995402239736576,0.22724728521214566
132,CLINT1,372,0.9950870111027952,0.196656193602065
133,AGBL5,371,0.993742975021483,0.2340804697896548
134,ALG2,371,0.9915108559823015,0.3445795312775992
135,CASP6,371,0.9894167035351175,0.16784300120938234
136,CD2BP2,370,0.9935476142316815,0.1295361247412572
137,BAP1,370,0.9816863878769716,1.9048990679231803
138,DNAAF3,369,0.9937726554047438,0.22540979082736
139,CYS1,367,0.9941107263099279,0.15032049578590545
140,CTCFL,366,0.9892876659135826,0.1289533054917964
141,AARSD1,366,0.9927059523532544,0.12403455268927033
142,DIPK1B,365,0.9940286947215348,0.2638615036409657
143,CCDC106,365,0.9921013501854111,0.19503825202517966
144,COPS8,365,0.9777716464025412,0.6325401496010308
145,DMTN,364,0.9970780726838191,0.15082867378372988
146,CREB5,364,0.9932363907683431,0.17601771899328789
147,CDK2AP1,363,0.9936118397961597,0.1252726441126235
148,ACTB,362,0.9824167557235723,0.6405790388571475
149,C17orf75,362,0.996818854369945,0.14870303303587207
150,ACP5,362,0.9928305138332512,0.15121099194172416
151,BAIAP2,362,0.9918735132981855,0.07708227420305747
152,BSCL2,361,0.9966281656310882,0.16818872652332395
153,APC,360,0.9968024951146626,0.19262775504576624
154,C1D,360,0.987420680225716,0.24452661091405403
155,BAD,360,0.985552529496876,0.1522349103878451
156,CLK3,359,0.9972188384067525,0.14845913788617082
157,BRCA2,359,0.9905471302655292,0.19906170559611525
158,DDR1,358,0.9912889772838734,0.195098573950105
159,AARS2,357,0.9708856025279692,0.47998626981277503
160,ARF6,356,0.9951063047682869,0.17717228026029375
161,CNNM3,356,0.9911162213435413,0.1802176016139967
162,ACIN1,354,0.9955760479139028,0.3365707799036155
163,CNPPD1,351,0.9945339801450263,0.11178588042820259
164,C1orf52,351,0.9941963082764818,0.13595676016983305
165,CBLN1,351,0.9931889532240049,0.27676551276751304
166,COQ5,350,0.9936952023879695,0.18526320898778792
167,ARHGEF10,349,0.9933890468035395,0.20471538149396906
168,COA8,349,0.9951901207008267,0.34765550977040505
169,C1orf198,349,0.9926576434264046,0.1589922561037831
170,CT45A5,349,0.9940968151793266,0.24481282566766716
171,COMMD3,349,0.9875451719043354,0.21743598349919502
172,CDK6,347,0.9945643021812288,0.2773548515726123
173,ACOT7,347,0.9919958879272663,0.26045521666276095
174,ATF1,347,0.9967702788468866,0.13255617464532854
175,CAB39,347,0.9928572225603832,0.0654957208683058
176,CNTRL,345,0.9921179854220912,0.2652579309101597
177,ANKRD40,345,0.9947294499060955,0.14815443211056412
178,CCDC115,345,0.9919281191726991,0.4836400079229062
179,DCLRE1B,344,0.9924523545113766,0.17503383983464893
180,CORO7,344,0.9957712379501901,0.19750168813788527
181,ATXN3,341,0.9960901465567881,0.15690596964851622
182,BTG1,341,0.9918672659949158,0.2462711861469291
183,DCTPP1,341,0.9929350823522524,0.22824018903927623
184,DICER1,341,0.9747331361009645,1.3061849132267902
185,ARPC3,341,0.9942273023417121,0.1914345227380636
186,BAZ2A,340,0.9969753185922013,0.16288539129277346
187,BTF3L4,339,0.9877286733211389,0.15740433681083665
188,CDC27,339,0.9913005382186377,0.21790895967949098
189,BICD1,339,0.9925327952475794,0.12579887111240495
190,CLSTN3,338,0.9954377526134524,0.17184546436874015
191,CARD8,338,0.9908757318642266,0.28077269996262544
192,C16orf72,337,0.9942122315446257,0.23104246474428436
193,ATP6V1D,336,0.9924994380393262,0.21923376709134956
194,CNDP2,336,0.9937995537170691,0.2200065010978154
195,CDK9,336,0.9926059877430896,0.38839759986708167
