,perturbation,n,r2,fid
109,ZNF207,509,0.9886439811561678,0.08300709552618457
110,GTF3C6,508,0.9883219995728723,0.21924966814238722
111,DNMT1,508,0.9728032449544949,0.4369074373537867
112,XRCC1,507,0.989320076952994,0.11149756383458254
113,PARP2,505,0.9898879149828836,0.1520305737922989
114,ZYX,505,0.9903163447512365,0.1170949734384017
115,SRSF6,504,0.9892921238466987,0.1043126352679753
116,MLEC,504,0.9908466090270268,0.20959368393820377
117,SUN1,501,0.9901101421906309,0.0931508460493955
118,MKNK1,501,0.9904247535393558,0.16182956157147466
119,ZFP28,497,0.9902105056232323,0.11760709826383753
120,PPME1,496,0.9900840825899448,0.0900662400583041
121,DPP9,495,0.9899668848024958,0.14293918201955336
122,RRM2,492,0.9889259069989127,0.2039777127126694
123,LUC7L2,492,0.9907798721672936,0.19286101169440428
124,PPCDC,491,0.990221771871406,0.15238504639367711
125,DST,490,0.989786635512531,0.11520320653480454
126,FBXL5,490,0.9904466636453509,0.13826027107526428
127,KLF7,489,0.992155729413148,0.10147022588902388
128,PPP1R12A,489,0.990410220131933,0.10945176318328009
129,FADS2,488,0.9908099183239543,0.09777625019890834
130,KLF10,488,0.9914284839077843,0.09345881949822932
131,IQSEC2,487,0.9914632747343887,0.15479848353153614
132,RIC8A,487,0.9904207844748362,0.16560905629640033
133,PCBP2,485,0.9878102417859256,0.16726583568046394
134,SLC8B1,484,0.9909749945881995,0.07885481507509873
135,TKT,483,0.9903468573737362,0.1405346266002674
136,PFKL,483,0.9901608635367091,0.15809921243666025
137,GOLM1,482,0.9895467085969708,0.11515543044294319
138,VEZT,482,0.9903458791602484,0.11323763876714565
139,GFM1,480,0.9741129077124575,1.1974296941845228
140,ZFP36L1,480,0.9907789875365209,0.1479424707692658
141,ZNF488,479,0.9901365923625377,0.11847030861653352
142,PC,479,0.9896810857183225,0.10393203870993695
143,NAGLU,479,0.9913441391094802,0.1167540440177195
144,HMBS,478,0.9895361354738812,0.12109365138345751
145,FAXDC2,477,0.9902048270032268,0.10496360731646881
146,SOX1,477,0.9881917653320832,0.10946721751239963
147,SIN3A,477,0.9856027273711013,0.37978439045325985
148,SLC12A5,475,0.99064404895127,0.19851729272834362
149,XPO5,475,0.9860780287232043,0.28119201337823796
150,SPEG,473,0.9902554193405836,0.14843194343850818
151,STAT5A,473,0.9894504141936604,0.26435609340445865
152,TNFRSF1B,472,0.9903412545156965,0.08290288292867842
153,UFL1,472,0.9857426843457674,0.31168734025430567
154,REST,471,0.989210615571108,0.1044517298189902
155,YEATS4,471,0.9809114330760174,0.33006328943291763
156,IFRD1,471,0.9907523585110297,0.11215032834070549
157,SLC25A10,471,0.9828506010235064,0.8552058369599411
158,MICALL2,470,0.9905122226216118,0.14309960367870644
159,IKZF4,470,0.9912002688149887,0.14320107626582335
160,PPP2CA,470,0.9891981744613894,0.12245600811794688
161,KCNE3,468,0.9905576710665627,0.12779432964988047
162,NFRKB,467,0.9799465744228893,0.6642732584705264
163,OLFML3,467,0.990519980351085,0.12228568916764537
164,KATNB1,467,0.9908932030535026,0.11350643810694194
165,FBXL19,466,0.9909403782230897,0.15622868464834205
166,PRSS50,466,0.9902005439452203,0.12180781027094056
167,LRRC8D,466,0.9912859636642793,0.13439115811676317
168,SLC25A6,465,0.9894907046273995,0.12797780235453615
169,PELO,465,0.988332638557743,0.23863587260711583
170,KAT8,465,0.9835550264623825,0.5237334057087715
171,ZC3H4,464,0.9859394198411543,0.2620315504944557
172,TRA2A,463,0.9896689796632949,0.13798599666581524
173,ERCC4,462,0.9900126457345317,0.11415817506525272
174,ZMYM3,462,0.9886119923511759,0.264361305848956
175,SF3A1,461,0.9904266158393346,0.20561515874641323
176,RALGDS,461,0.9898947704413674,0.12827755981300726
177,KLF4,460,0.9911972892286749,0.16493487170104082
